Subject,Condition,User ID,ManipulationText,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FD,SD,UP,FW,TFAD1_3,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,Q37_3,1aAns,T1a_3,1bAns,T1b_3,1cAns,T1c_3,2aAns,T2a_3,2bAns,T2b_3,2cAns,T2c_3,3aAns,T3a_3,3bAns,T3b_3,3cAns,T3c_3,4aAns,T4a_3,4bAns,T4b_3,4cAns,T4c_3,5aAns,T5a_3,5bAns,T5b_3,5cAns,T5c_3,6aAns,T6a_3,6bAns,T6b_3,6cAns,T6c_3,7aAns,T7a_3,7bAns,T7b_3,7cAns,T7c_3,8aAns,T8a_3,8bAns,T8b_3,8cAns,T8c_3,9aAns,T9a_3,9bAns,T9b_3,9cAns,T9c_3,10aAns,T10a_3,10bAns,T10b_3,10cAns,T10c_3,11aAns,T11a_3,11bAns,T11b_3,11cAns,T11c_3,12aAns,T12a_3,12bAns,T12b_3,12cAns,T12c_3,13aAns,T13a_3,13bAns,T13b_3,13cAns,T13c_3,14aAns,T14a_3,14bAns,T14b_3,14cAns,T14c_3,15aAns,T15a_3,15bAns,T15b_3,15cAns,T15c_3,16aAns,T16a_3,16bAns,T16b_3,16cAns,T16c_3,17aAns,T17a_3,17bAns,T17b_3,17cAns,T17c_3,18aAns,T18a_3,18bAns,T18b_3,18cAns,T18c_3,19aAns,T19a_3,19bAns,T19b_3,19cAns,T19c_3,20aAns,T20a_3,20bAns,T20b_3,20cAns,T20c_3,Purpose,Environ,Monitor,Monitor_TEXT,Browser,Browser_TEXT,Gender,Age,Edu,L1,Country,Comments
92,2,AHCIR9FITNKAL,"84,239",3,4,3,4,2,2,4,5,3,3,3,4,4,4,4,5,4,4,4,3,4,4,5,2,2,4,4,16,23,27,31,"99,681",4,1,2,1,3,1,1,1,2,3,1,3,1,2,1,2,4,1,3,1,68.79,,"10,005",9,"5,545",,,,"10,004",3,"22,244",,,,"10,005",10,"2,202",,,,"10,005",10,"2,002",,,,"10,005",6,"9,319",,,,"10,005",43,"2,622",,,,"10,004",9,"2,105",,,,"10,004",30,"2,586",,,,"10,005",27,"2,566",,,,"10,004",-11,"4,665",,,,"2,006",41,"2,803",,,,"2,006",9,"1,894",,,,"2,006",13,"2,265",,,,"2,005",-6,"3,459",,,,"2,006",-7,"2,182",,,,"2,005",-34,"3,571",,,,"2,006",42,"2,341",,,,"2,006",32,"1,753",,,,"2,006",3,"1,765",,,,"2,005",34,"2,126",,,How quickly people can solve math problems,1,2,,3,,2,42,5,english,united states,
93,2,A1HBIE5LRTQK1L,"127,132",1,4,3,4,3,2,2,4,1,3,4,4,3,4,4,4,2,3,3,1,5,3,4,3,2,4,3,10,22,22,29,145.9,4,1,4,1,3,1,1,1,4,3,1,5,1,2,1,3,5,1,4,1,"111,264",,0.817,,,9,"60,068",,"1,577",,,-23,"67,669",,0.653,,,10,"35,424",,0.978,,,-26,43.08,,0.466,,,6,"51,169",,0.572,,,43,"37,764",,0.772,,,9,"33,218",,0.638,,,30,28.68,,0.515,,,27,"125,544",,0.402,,,-11,"35,059",,0.402,,,41,"33,669",,0.391,,,9,"27,798",,0.532,,,13,"29,859",,0.328,,,-6,"31,189",,"2,014",-7,"13,562",,,,"2,013",-34,"5,384",,,,"1,273",,,6,28.67,,0.779,,,23,"31,798",,0.565,,,3,"29,867",,0.548,,,34,"30,511",Honesty,1,2,,2,,1,44,3,English,The United States Of America,
94,2,A40W0EWYGHNV0,"103,766",3,3,1,4,3,1,3,5,3,1,3,2,4,1,4,4,4,2,3,1,1,3,4,3,1,2,4,17,14,20,22,"128,354",3,1,1,1,3,1,1,1,1,1,1,3,1,1,1,3,3,1,2,1,"35,936",,0.757,,,9,"23,754",,"1,286",,,3,"15,072",,0.471,,,10,11.51,,0.428,,,10,"16,833",,0.775,,,6,"14,294",,0.479,,,43,"20,963",,0.48,,,9,"22,978",,0.393,,,30,"21,058",,0.373,,,27,"16,448",,0.382,,,-11,"26,182",,0.399,,,41,"51,615",,0.371,,,9,"21,386",,0.454,,,13,18.63,,0.403,,,-6,"19,792",,0.315,,,-7,"16,207",,0.329,,,-34,"16,508",,0.338,,,42,"12,664",,0.432,,,32,"14,525",,0.403,,,3,"21,927",,0.411,,,34,"10,452",No idea.,1,1,,2,,1,38,6,English,USA,
95,2,A3247JBRAMN08J,"73,089",2,2,3,3,2,2,4,4,2,2,4,2,2,2,4,4,2,3,4,2,2,2,3,2,4,2,2,10,15,27,20,"347,814",2,1,2,1,3,1,1,1,2,2,1,2,1,2,1,2,3,1,2,1,"37,849",,0.81,,,9,"15,866",,0.576,,,3,"12,434",,0.548,,,10,"11,417",,0.524,,,11,"11,162",,0.416,,,6,"20,619",,0.565,,,43,"34,363",,0.575,,,9,"12,489",,0.514,,,30,"16,022",,0.441,,,27,"41,656",,0.568,,,11,"18,385",,0.395,,,41,18.05,,0.481,,,9,"19,414",,0.505,,,13,"77,997",,0.532,,,-6,"253,368",,"1,309",,,3,"17,495",,0.925,,,-34,"12,781",,"1,318",,,42,"14,021",,"2,003",32,"3,458",,,,0.635,,,3,"13,946",,0.567,,,34,"9,471",being honest,2,2,,4,,1,34,4,english,usa,
96,2,AT49Y7HOUVIYU,"108,246",2,4,4,2,3,3,4,4,2,4,4,2,3,3,4,3,2,2,4,4,2,2,3,4,4,2,4,12,22,32,18,"94,494",2,3,1,4,2,1,4,1,1,1,3,3,1,1,5,3,3,3,2,4,"58,818",,0.565,,,9,"70,423",,"10,004",6,"14,341",,,,"10,002",10,"7,758",,,,"10,002",10,"26,321",,,,"10,004",6,"55,156",,,,"10,003",43,"35,089",,,,"10,003",9,"9,056",,,,"10,003",30,"7,726",,,,"10,003",27,"17,143",,,,"10,003",-11,"9,444",,,,"2,006",41,"20,893",,,,"2,003",9,"7,237",,,,0.961,,,13,"55,516",,"2,005",-6,"6,112",,,,"2,002",-7,"3,003",,,,"2,003",-34,"2,635",,,,"2,005",42,"3,704",,,,"2,003",32,"1,687",,,,"2,002",3,"2,038",,,,"2,005",34,"2,543",,,whether we would hit the space bar or not,1,1,,4,,2,49,5,English,US,
97,2,A3JHXEH79DJ83L,"129,949",3,4,5,1,3,1,2,1,1,1,5,2,4,4,2,1,4,4,3,5,1,3,2,4,5,3,4,15,21,31,11,"113,419",5,1,3,1,3,1,1,1,3,3,1,4,1,2,1,4,5,1,2,1,"67,069",,"1,403",,,15,"75,218",,"10,007",3,"19,473",,,,1.89,,,10,"31,472",,"10,007",10,11.18,,,,"1,108",,,6,"17,068",,0.935,,,43,"19,835",,"1,955",,,9,24.03,,0.657,,,30,"18,198",,"10,008",27,"3,077",,,,"1,515",,,2,18.11,,0.876,,,41,"20,974",,0.951,,,9,"15,829",,0.58,,,13,"18,124",,"1,413",,,6,"18,927",,0.501,,,7,"18,321",,0.484,,,34,18.94,,0.472,,,42,"16,509",,0.632,,,32,"6,412",,"2,007",3,"2,374",,,,"1,562",,,34,"17,475","honesty, I don't believe that there is a problem with your program and your testing honesty.  Was thinking of putting any old number  down. but I want to continue working with a great accepted hit score so I used a calc. sometimes the spacebar wasn't pressed and the number came up",1,2,,2,,2,52,5,english,USA,
98,2,A13JE0TMQAVKAP,"98,508",3,3,3,4,2,1,5,4,4,3,5,4,2,2,4,4,2,5,4,4,4,4,4,2,3,4,4,13,20,32,28,"458,852",4,2,3,1,3,1,1,1,2,2,1,2,1,3,1,2,2,2,1,1,"85,821",,2.25,,,9,"56,448",,"9,999",3,"8,484",,,,"8,531",,,10,"27,295",,"9,999",10,"29,029",,,,"10,014",6,"10,468",,,,"9,999",43,"223,184",,,,10,9,"3,125",,,,"9,999",30,"2,063",,,,"9,999",27,"2,313",,,,10,-11,"2,813",,,,"1,015",,,41,"21,858",,2,9,"8,343",,,,1.75,,,13,8.28,,2,-6,"87,462",,,,2,-7,"2,437",,,,2,-34,"3,328",,,,"2,016",42,"2,031",,,,"2,015",32,"1,531",,,,2,3,"1,312",,,,2,34,"1,859",,,not sure,2,1,,1,,1,38,6,English,usa,
99,2,A2FV0CMG9S8CU0,"115,302",1,2,2,3,1,1,5,3,1,1,3,3,1,3,4,3,1,2,1,2,4,2,3,2,2,2,5,5,13,24,21,"122,202",3,1,1,1,1,1,1,1,3,1,1,4,1,1,1,3,4,1,2,1,"49,809",,0.521,,,9,"31,693",,0.328,,,3,"48,105",,"2,282",,,10,"35,959",,0.404,,,10,"22,593",,0.424,,,6,"13,232",,0.274,,,43,"29,708",,0.302,,,9,"22,846",,0.417,,,30,33.74,,0.337,,,27,"25,715",,0.521,,,-11,"56,187",,0.287,,,41,"21,705",,0.308,,,9,"31,204",,0.366,,,13,"24,401",,0.293,,,-6,"18,654",,0.25,,,-7,"16,499",,0.259,,,-34,"38,979",,0.373,,,42,"21,328",,0.328,,,32,"16,922",,0.308,,,3,"24,146",,0.318,,,34,"17,501",Whether or not people would wait for the answer to show up or press space and solve the problems?,1,1,,2,,1,34,6,English,USA,
100,2,A37ADCYLCSB5O2,"123,683",3,4,3,2,3,2,2,3,1,3,2,1,2,4,2,3,4,4,2,3,2,3,2,2,3,2,2,13,22,19,15,"70,543",3,1,2,1,2,1,1,1,2,1,1,3,1,1,1,2,3,1,1,1,"32,021",,0.66,,,9,26.17,,"10,003",3,"29,828",,,,"10,005",10,"1,848",,,,"9,999",10,"2,987",,,,"10,003",6,"2,057",,,,"10,004",43,"2,724",,,,"9,999",9,"1,497",,,,"10,001",30,"2,761",,,,"10,003",27,"4,537",,,,"10,002",-11,3.54,,,,"2,008",41,"18,875",,,,"1,998",9,"6,105",,,,"2,008",13,9.69,,,,"2,003",-6,"7,648",,,,"2,005",-7,"5,268",,,,2,-34,"3,027",,,,"2,001",42,"2,567",,,,"2,001",32,"5,024",,,,"1,997",3,"5,489",,,,"2,001",34,"1,222",,,Not really sure,2,1,,2,,1,25,6,English,US,
101,2,A1TM1ZFU4OIPTD,"175,975",3,5,5,1,3,5,2,4,2,5,4,1,1,4,2,1,1,4,4,4,1,2,2,4,4,2,4,10,29,29,12,"134,714",4,1,1,1,1,1,1,1,3,1,1,5,1,1,1,3,5,1,3,1,50.52,,"9,989",9,"13,417",,,,"9,991",12,"45,449",,,,"9,999",10,"49,088",,,,10,10,"38,411",,,,10,6,24.67,,,,"9,989",43,"24,148",,,,"10,006",9,"14,981",,,,10,30,"20,244",,,,"10,003",27,19.06,,,,"10,004",-11,"26,491",,,,"1,999",41,27.21,,,,"2,007",9,"25,889",,,,2,13,"26,775",,,,"2,021",-6,"27,155",,,,2,-7,"5,776",,,,"1,998",-34,"3,962",,,,"2,007",42,24.15,,,,"2,006",32,"21,377",,,,"2,007",3,"23,456",,,,"1,997",34,"25,061",,,learning more about human behavior,1,2,,2,,2,30,5,English,United States,
102,2,A2T5TKB5P9UQSF,"75,259",2,2,1,4,2,2,3,4,2,2,3,4,2,4,3,4,3,3,3,2,4,4,4,4,2,4,3,11,21,20,28,"139,938",4,1,4,1,4,1,1,1,4,4,1,5,1,4,1,4,5,1,3,1,"33,345",,"10,003",9,"3,044",,,,0.902,,,13,"15,917",,"10,002",10,"3,684",,,,"10,001",10,"2,118",,,,"10,004",6,"1,767",,,,"10,002",43,"1,389",,,,"10,003",9,"1,358",,,,"10,003",30,0.786,,,,"10,001",27,"1,063",,,,"10,003",-11,"2,359",,,,0.442,,,41,"21,357",,0.39,,,9,"16,673",,0.453,,,13,"22,336",,0.388,,,-6,"18,196",,0.421,,,-7,"13,254",,0.422,,,-34,16.02,,0.473,,,42,"15,098",,"1,267",,,32,"15,237",,"1,782",,,3,"14,312",,"2,004",34,"15,288",,,One's future and fate and math problems,1,1,,2,,1,34,6,english,usa,
103,2,A39WGGJ22N4S4F,"157,902",1,3,3,3,1,1,4,5,1,3,3,2,1,3,4,4,1,2,2,3,3,3,4,3,3,4,4,5,18,26,25,"88,846",4,1,2,1,1,1,1,1,1,1,1,4,1,2,1,2,4,1,1,1,"45,938",,0.648,,,9,"19,222",,"1,151",,,3,"30,523",,"1,097",,,10,"21,061",,"10,017",10,"5,819",,,,0.808,,,7,"14,003",,"1,071",,,43,"22,443",,"10,016",9,7.72,,,,"1,018",,,30,"23,055",,0.721,,,27,"24,482",,"1,395",,,-11,"23,669",,0.921,,,41,"20,168",,0.577,,,9,"20,074",,0.526,,,13,"20,709",,0.61,,,-6,"22,414",,"2,014",-7,"19,896",,,,0.721,,,-32,"23,674",,"1,007",,,42,"24,346",,0.695,,,32,13.78,,"2,005",3,"4,865",,,,1.38,,,18,"18,551",I don't know,1,2,,2,,2,27,6,English,USA,
104,2,A259KMVAM3EZDS,"122,363",1,3,3,3,2,2,4,4,1,2,2,3,2,4,4,4,1,3,3,2,3,4,3,4,4,2,4,7,22,26,22,"83,898",3,1,3,1,2,1,1,1,4,3,1,5,1,2,1,5,3,1,2,1,"36,078",,"10,004",9,"5,693",,,,"10,006",3,"2,299",,,,"10,006",7,"4,589",,,,"10,007",10,"21,513",,,,"10,003",6,"2,978",,,,"10,003",43,"11,947",,,,"10,004",9,"18,363",,,,"10,004",30,"33,997",,,,"10,004",3,"21,724",,,,"10,004",-11,"19,283",,,,0.495,,,41,"36,038",,"2,003",9,"7,699",,,,0.646,,,13,"26,155",,"2,004",-6,"23,292",,,,"2,003",-7,"28,674",,,,0.681,,,-34,24.74,,0.734,,,43,"20,077",,0.587,,,34,"15,163",,0.686,,,11,"20,742",,0.589,,,38,"24,552",To see whether people would be honest or not.,2,1,,4,,1,27,6,English,US,
105,2,AKX5RHHO8BIUX,"89,420",2,3,4,2,2,2,4,5,3,3,3,4,3,3,5,4,4,2,2,4,4,2,4,3,2,3,4,14,18,28,26,"29,672",4,2,1,1,1,2,2,2,1,1,3,4,2,1,2,3,4,1,1,2,"38,343",,0.437,,,9,"12,516",,0.453,,,3,"18,312",,0.281,,,10,"13,218",,0.328,,,10,"17,547",,0.297,,,6,"14,219",,0.297,,,43,"15,297",,0.281,,,9,"12,516",,0.437,,,30,"15,578",,0.328,,,27,"14,766",,0.265,,,-15,17.75,,0.25,,,41,"14,921",,0.297,,,15,"21,641",,0.328,,,13,"13,172",,0.312,,,-6,"16,328",,0.297,,,3,"12,219",,0.328,,,-34,13.89,,0.328,,,42,"10,812",,0.312,,,32,"10,875",,0.265,,,3,"14,265",,0.297,,,34,"10,156",Ability to follow instructions after thinking about thought. ,1,1,,1,,1,52,6,English,USA,
106,2,A1434R69YV3Y3I,"88,614",2,4,2,3,2,2,3,4,2,4,4,3,3,3,4,3,2,3,2,3,3,3,2,3,2,3,3,11,22,23,21,66.31,3,2,2,2,2,2,2,2,2,2,3,2,1,2,3,2,2,1,1,2,"32,553",,0.055,,,9,"19,549",,"10,001",3,"14,917",,,,0.835,,,10,"13,217",,0.319,,,10,"15,211",,0.54,,,6,11,,0.482,,,43,"14,887",,"10,001",9,"1,806",,,,"2,398",,,30,13.52,,10,27,"1,717",,,,"10,002",-11,"4,455",,,,"2,001",41,"11,309",,,,"2,001",9,"5,444",,,,2,13,"3,661",,,,2,-6,1.54,,,,2,-7,"1,449",,,,"2,001",-34,"1,705",,,,"2,001",42,1.45,,,,2,32,"1,509",,,,"2,001",3,0.79,,,,"2,002",34,"1,403",,,To see how many people cheat by seeing the answer depending on instructions,4,2,,4,,1,23,6,english,USA,
107,2,A1XT2TVONKZHVJ,"63,533",1,1,2,4,1,4,1,5,1,1,4,4,2,2,4,3,1,3,2,4,5,2,3,3,1,4,4,6,16,22,28,"172,758",3,1,2,1,2,1,1,1,3,2,2,2,1,2,1,3,2,1,2,1,"64,334",,0.521,,,9,"2,383",,0.482,,,3,28.41,,0.552,,,10,"26,428",,0.46,,,10,"57,961",,0.357,,,6,"23,422",,0.334,,,43,"27,763",,0.375,,,9,"33,457",,0.423,,,30,"23,515",,0.33,,,27,28.09,,0.367,,,13,"24,188",,0.354,,,41,22.83,,0.496,,,9,"21,768",,0.301,,,13,"23,332",,0.617,,,-6,"30,806",,0.519,,,-7,"24,413",,0.352,,,-34,"21,994",,0.432,,,42,"37,348",,0.559,,,32,"21,967",,0.388,,,3,"21,716",,0.637,,,34,"24,601",I think that the study was about how reading an article affects your thinking,2,1,,4,,2,18,3,English,US,
108,2,A2GI2J0X6XKOPT,"205,181",5,3,3,3,3,1,5,5,5,1,3,3,2,3,5,5,5,2,1,1,5,3,5,2,3,3,5,20,15,26,29,106.41,4,1,1,1,3,1,1,1,3,2,1,3,1,2,1,4,4,1,2,1,"41,812",,0.561,,,9,"22,755",,0.405,,,3,"29,813",,0.359,,,10,"18,835",,0.5,,,10,"15,883",,0.297,,,6,"19,209",,0.344,,,43,12.9,,0.312,,,9,"15,945",,0.437,,,30,12.15,,0.344,,,27,"17,898",,0.422,,,-11,"17,179",,0.407,,,41,"15,243",,0.312,,,9,"13,385",,0.312,,,13,"13,384",,0.327,,,-6,"13,009",,0.328,,,-7,"11,479",,0.359,,,-34,"10,558",,0.328,,,42,"13,792",,0.313,,,32,"10,294",,0.359,,,3,"12,185",,0.344,,,34,"14,028",Deterioration of short term memory,1,1,,1,,2,32,7,English,USA,
109,2,A321FJYVTX5WP9,"107,835",2,4,4,3,2,1,5,4,2,3,5,3,3,4,5,4,4,3,5,5,3,2,2,4,4,3,4,13,21,37,22,"103,029",2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,"40,574",,0.688,,,8,"28,277",,0.826,,,4,76.04,,0.923,,,-5,"26,173",,0.349,,,10,"4,494",,0.795,,,6,"17,915",,0.732,,,43,"28,922",,0.76,,,9,"22,676",,0.306,,,30,"21,084",,0.249,,,27,"21,844",,0.315,,,-11,"19,191",,0.287,,,41,18.04,,0.944,,,9,"18,582",,0.386,,,26,"31,973",,0.343,,,-6,"18,217",,"1,497",,,-7,"21,478",,0.286,,,-34,19.82,,0.812,,,42,"25,906",,0.393,,,51,"30,608",,"2,001",3,"4,328",,,,0.37,,,34,"18,896",Ability to add and subtract long strings of numbers,2,5,"Started on tablet, didn't work (couldn't hit enter) so switched to laptop",4,,2,23,6,english,USA,"Is begonnen op laptop. Denk niet dat het gevolgen heeft voor data, want over gegaan op laptop  voor manipulatie begon."
110,2,ARZUDUVJXQ2VX,"78,095",1,4,2,3,1,1,5,5,1,1,2,4,1,3,3,5,1,2,3,3,3,3,4,4,2,4,1,5,18,21,28,"95,124",4,1,3,1,3,1,1,1,2,1,1,5,1,2,1,2,5,1,2,1,"45,406",,0.531,,,-9,"21,875",,"3,641",,,3,"22,234",,10,10,"4,172",,,,"1,188",,,11,"15,812",,"10,015",6,"6,469",,,,3.25,,,43,"12,921",,0.563,,,9,"28,984",,0.734,,,30,"13,969",,"2,563",,,27,"14,516",,"1,813",,,-11,"43,437",,0.469,,,41,"40,437",,0.343,,,9,"27,484",,0.437,,,13,"31,609",,0.422,,,-6,"29,578",,0.516,,,-7,"18,046",,0.485,,,-34,"44,749",,0.578,,,42,"11,781",,0.562,,,32,"74,527",,0.453,,,3,"3,234",,0.813,,,34,"23,077",I am thinking perhaps about thinking quickly in math or how the brain thinks...not really sure,1,1,,1,,2,36,6,English,USA,
111,2,A1JMINVUZ2AOZR,"291,357",1,2,3,3,1,4,3,4,1,2,3,4,1,4,3,4,1,2,3,3,4,3,4,4,3,4,4,5,21,25,27,"205,347",4,1,3,1,3,1,1,1,3,2,1,4,1,2,1,4,4,1,3,1,59.38,,1.94,,,9,"66,829",,"4,224",,,3,"25,311",,"1,797",,,10,"19,124",,"1,256",,,10,"21,295",,"1,565",,,6,"27,863",,"2,209",,,43,"50,167",,"1,766",,,9,"44,071",,"2,098",,,30,"40,286",,"2,222",,,27,"45,583",,2.14,,,-11,"39,663",,"1,644",,,41,"28,662",,"1,976",9,"12,827",,,,0.546,,,13,"32,698",,0.556,,,-6,"28,653",,0.537,,,-7,"32,296",,0.521,,,-34,"40,763",,0.6,,,42,"43,084",,0.583,,,32,33.31,,0.504,,,3,"31,877",,0.59,,,34,"75,465",I suppose how honest people are in getting to a correct or easy answer and how that relates to their views on personality and consciousness.,1,1,,4,,1,31,3,English,USA,
112,2,AIENMBTHC0QLY,"252,126",1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,13,20,23,22,"37,069",1,3,2,3,3,2,3,4,4,1,4,5,2,2,4,3,3,3,2,4,"33,968",,"10,003",9,"7,897",,,,"10,003",3,"11,209",,,,"10,002",10,"3,275",,,,0.744,,,1,"66,749",,"4,805",,,7,"21,376",,"10,002",43,"2,448",,,,"10,001",9,"2,758",,,,"10,002",30,"2,303",,,,"10,004",27,"35,912",,,,"10,002",11,"23,989",,,,0.426,,,42,21.4,,0.819,,,9,"43,163",,"1,211",,,13,"17,929",,0.39,,,4,"23,774",,0.804,,,9,"23,224",,"1,621",,,4,"23,566",,"1,151",,,42,"32,027",,"1,431",,,32,"18,394",,1.43,,,3,21.2,,0.433,,,28,"20,084",ability to solve math problems quickly,1,1,,4,,1,27,4,english,usa,
113,2,A3862RIFFUV141,"326,629",1,4,3,3,2,3,5,4,1,3,4,3,3,4,3,4,3,4,3,4,3,3,3,3,3,2,5,10,24,30,22,"21,444",4,1,3,1,3,1,1,1,3,3,1,4,1,2,1,3,4,1,2,1,"59,013",,0.651,,,9,28.6,,"1,762",,,3,"28,687",,"1,197",,,13,"19,118",,0.657,,,10,,,"1,456",,,6,"21,561",,0.643,,,43,"43,609",,0.827,,,9,"41,153",,0.64,,,26,"21,003",,0.722,,,27,"32,852",,0.887,,,-11,"40,654",,0.951,,,41,"34,138",,0.924,,,9,"21,408",,0.678,,,13,"36,342",,0.955,,,-6,"36,414",,0.95,,,-7,"18,848",,0.591,,,-4,"20,638",,0.425,,,42,"28,395",,0.764,,,32,"15,135",,0.739,,,3,"17,765",,0.784,,,36,"27,455",I have no idea how reading about consciousness related to possibly cheating at math problems.  Sorry.,1,2,,2,,1,42,4,English,USA,
114,2,AR08H70QMVHCQ,"120,100",3,4,4,3,3,1,5,4,3,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,4,3,3,16,21,32,24,"73,602",4,2,1,2,2,1,1,1,4,3,1,5,2,3,2,4,5,1,4,1,46.97,,0.695,,,8,"12,218",,0.471,,,3,"17,779",,0.49,,,10,"28,274",,0.537,,,10,"17,848",,0.546,,,6,"11,123",,0.673,,,45,"15,531",,0.547,,,9,"13,684",,0.449,,,30,"20,368",,0.519,,,27,22.04,,0.386,,,-11,"69,767",,0.564,,,59,"13,488",,0.535,,,9,"9,586",,0.425,,,3,"15,775",,0.436,,,-6,"13,646",,0.382,,,-7,"10,998",,"1,078",,,-33,"14,997",,0.432,,,42,9.76,,0.484,,,32,"13,383",,0.42,,,3,"12,652",,0.38,,,44,"8,481", i honestly don't know!,1,1,,1,,2,34,6,english,US,
115,2,A2P6ZF0FITTEQ1,"233,785",2,3,2,4,2,3,3,5,1,3,2,4,2,3,2,4,2,3,1,3,4,4,3,3,4,4,2,9,22,19,28,"124,065",3,1,2,1,3,1,1,1,2,2,1,4,1,2,1,4,4,1,3,1,"53,574",,"10,018",9,"6,765",,,,"10,021",3,"38,214",,,,"10,019",10,"4,174",,,,10.02,10,"13,487",,,,10.02,6,"4,121",,,,10.02,43,8.35,,,,"10,019",9,"4,484",,,,10.02,30,"5,306",,,,10.02,27,"3,185",,,,10.02,-11,"13,556",,,,0.446,,,41,33.34,,0.663,,,26,"22,189",,"2,026",13,5.16,,,,0.541,,,2,"34,576",,"2,025",-7,"5,046",,,,"2,028",-34,"5,327",,,,0.62,,,42,"24,813",,0.403,,,32,"19,259",,0.488,,,11,"19,784",,"1,371",,,44,"22,111",Determining free will,1,2,,2,,1,23,6,English,USA,
116,2,AD1IH74UX9IA,"180,090",5,3,2,3,5,4,4,4,5,3,4,1,3,3,4,2,3,5,3,1,1,3,2,2,2,2,2,21,23,22,15,"136,354",2,1,1,1,2,1,1,1,3,2,1,3,1,1,2,2,3,1,2,1,"57,554",,"10,008",9,"32,984",,,,10.05,3,7.06,,,,"3,188",,,10,"18,071",,"1,289",,,-6,"30,264",,"1,062",,,6,"16,739",,0.377,,,43,"26,615",,0.753,,,9,29.09,,0.542,,,30,"34,558",,0.473,,,27,"19,326",,0.829,,,-11,"19,737",,0.461,,,41,"26,526",,0.354,,,7,"23,177",,0.387,,,13,"23,038",,0.924,,,-6,"22,644",,0.538,,,-17,"20,437",,0.442,,,-34,"26,125",,0.353,,,42,"24,262",,0.394,,,32,"18,031",,0.393,,,3,"18,034",,0.355,,,34,"25,722",gullability in people believing they can have an advantage in a mostly meaningless task and how that affects their behavior.,1,1,,2,,1,25,4,English,United States,
117,2,A1935LBUEAMNMP,"141,337",1,4,2,3,2,1,3,4,1,3,2,4,2,4,4,3,1,5,2,3,4,5,4,4,2,4,4,7,26,22,26,"111,431",4,4,2,1,3,1,1,1,3,3,2,4,1,3,1,4,4,1,2,1,"64,262",,0.472,,,1,"23,059",,"10,004",3,"4,905",,,,"1,423",,,10,"14,887",,0.572,,,10,"40,983", ,"10,002",6,"4,093",,,,0.862,,,39,"29,641",,"4,362",,,0,"40,529",,0.873,,,30,15.82,,"1,178",,,19,21.42,,0.438,,,-15,"57,744",,0.516,,,41,"24,358", ,2,9,"2,934",,,,"1,782",,,13,"23,884",,"2,003",-6,"5,546",,,,0.841,,,-7,"22,581",,0.82,,,-36,"21,417",,0.621,,,42,"23,545",,0.828,,,27,"9,935",,"2,003",3,"12,633",,,,0.597,,,32,"18,693","Difficult to say. First part about how much control you have over your life--what that has to do with the math portion I don't know. I'm guessing you can tell when people hit the space bar or not, though.",4,2,,4,,2,24,7,English,US,
118,2,AQWC8BPA9JB7T,"62,914",1,4,4,3,1,1,2,4,1,3,1,2,3,4,3,4,2,2,2,4,3,2,4,4,4,3,4,8,20,24,23,82.39,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"42,572",,0.397,,,9,"32,905",,"1,964",,,3,"59,154",,"10,001",10,"17,232",,,,"1,038",,,10,"30,003",,0.968,,,6,"18,701",,"2,041",,,43,"29,143",,0.576,,,8,"30,589",,"1,485",,,30,"23,994",,0.37,,,27,"27,531",,"10,002",-11,"1,752",,,,0.576,,,41,"37,761",,0.867,,,9,"30,562",,"1,024",,,13,"42,886",,0.385,,,-6,"23,802",,0.425,,,-7,"27,301",,0.406,,,-34,"26,508",,"2,002",41,13.14,,,,"1,178",,,42,"17,948",,1.23,,,3,"16,953",,0.39,,,46,"37,537",To see if people take the guess of the arithmetic answer.,1,2,,4,,2,22,6,english,USA,
